Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ts5,Chrome 65.0.3325.181,,2018-07-31 17:36:12,2018-07-31 17:37:37,1m - 25.271s,FAILED
,,,,,,
Test Cases/tc05,Chrome 65.0.3325.181,,2018-07-31 17:36:12,2018-07-31 17:36:51,39.105s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-07-31 17:36:13,2018-07-31 17:36:19,5.766s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-07-31 17:36:19,2018-07-31 17:36:20,0.811s,PASSED
setText,Chrome 65.0.3325.181,,2018-07-31 17:36:20,2018-07-31 17:36:20,0.370s,PASSED
setText,Chrome 65.0.3325.181,,2018-07-31 17:36:20,2018-07-31 17:36:20,0.172s,PASSED
click,Chrome 65.0.3325.181,,2018-07-31 17:36:20,2018-07-31 17:36:20,0.168s,PASSED
click,Chrome 65.0.3325.181,,2018-07-31 17:36:20,2018-07-31 17:36:51,31.145s,FAILED
,,,,,,
Test Cases/tc05,Chrome 65.0.3325.181,,2018-07-31 17:36:52,2018-07-31 17:37:28,36.909s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-07-31 17:36:52,2018-07-31 17:36:56,4.612s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-07-31 17:36:56,2018-07-31 17:36:57,0.656s,PASSED
setText,Chrome 65.0.3325.181,,2018-07-31 17:36:57,2018-07-31 17:36:57,0.295s,PASSED
setText,Chrome 65.0.3325.181,,2018-07-31 17:36:57,2018-07-31 17:36:57,0.213s,PASSED
click,Chrome 65.0.3325.181,,2018-07-31 17:36:57,2018-07-31 17:36:57,0.126s,PASSED
click,Chrome 65.0.3325.181,,2018-07-31 17:36:57,2018-07-31 17:37:28,30.953s,FAILED
,,,,,,
Test Cases/tc05,Chrome 65.0.3325.181,,2018-07-31 17:37:28,2018-07-31 17:37:37,8.408s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-07-31 17:37:28,2018-07-31 17:37:32,4.016s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-07-31 17:37:32,2018-07-31 17:37:33,0.829s,PASSED
setText,Chrome 65.0.3325.181,,2018-07-31 17:37:33,2018-07-31 17:37:34,0.291s,PASSED
setText,Chrome 65.0.3325.181,,2018-07-31 17:37:34,2018-07-31 17:37:34,0.207s,PASSED
click,Chrome 65.0.3325.181,,2018-07-31 17:37:34,2018-07-31 17:37:34,0.119s,PASSED
click,Chrome 65.0.3325.181,,2018-07-31 17:37:34,2018-07-31 17:37:35,1.390s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-07-31 17:37:35,2018-07-31 17:37:37,1.531s,PASSED
