Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ts5,Chrome 65.0.3325.181,,2018-08-01 17:40:48,2018-08-01 17:42:13,1m - 25.303s,FAILED
,,,,,,
Test Cases/tc05,Chrome 65.0.3325.181,,2018-08-01 17:40:49,2018-08-01 17:41:30,41.843s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-08-01 17:40:49,2018-08-01 17:40:58,8.568s,PASSED
setText,Chrome 65.0.3325.181,,2018-08-01 17:40:58,2018-08-01 17:40:58,0.435s,PASSED
setText,Chrome 65.0.3325.181,,2018-08-01 17:40:58,2018-08-01 17:40:59,0.309s,PASSED
click,Chrome 65.0.3325.181,,2018-08-01 17:40:59,2018-08-01 17:40:59,0.188s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-08-01 17:40:59,2018-08-01 17:40:59,0.121s,PASSED
comment,Chrome 65.0.3325.181,,2018-08-01 17:40:59,2018-08-01 17:40:59,0.061s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-08-01 17:40:59,2018-08-01 17:41:30,31.404s,FAILED
,,,,,,
Test Cases/tc05,Chrome 65.0.3325.181,,2018-08-01 17:41:30,2018-08-01 17:42:06,35.733s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-08-01 17:41:30,2018-08-01 17:41:34,4.040s,PASSED
setText,Chrome 65.0.3325.181,,2018-08-01 17:41:34,2018-08-01 17:41:35,0.223s,PASSED
setText,Chrome 65.0.3325.181,,2018-08-01 17:41:35,2018-08-01 17:41:35,0.181s,PASSED
click,Chrome 65.0.3325.181,,2018-08-01 17:41:35,2018-08-01 17:41:35,0.124s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-08-01 17:41:35,2018-08-01 17:41:35,0.011s,PASSED
comment,Chrome 65.0.3325.181,,2018-08-01 17:41:35,2018-08-01 17:41:35,0.001s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-08-01 17:41:35,2018-08-01 17:42:06,31.129s,FAILED
,,,,,,
Test Cases/tc05,Chrome 65.0.3325.181,,2018-08-01 17:42:06,2018-08-01 17:42:13,7.009s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-08-01 17:42:06,2018-08-01 17:42:11,4.324s,PASSED
setText,Chrome 65.0.3325.181,,2018-08-01 17:42:11,2018-08-01 17:42:11,0.145s,PASSED
setText,Chrome 65.0.3325.181,,2018-08-01 17:42:11,2018-08-01 17:42:11,0.158s,PASSED
click,Chrome 65.0.3325.181,,2018-08-01 17:42:11,2018-08-01 17:42:11,0.094s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-08-01 17:42:11,2018-08-01 17:42:11,0.010s,PASSED
comment,Chrome 65.0.3325.181,,2018-08-01 17:42:11,2018-08-01 17:42:11,0.001s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-08-01 17:42:11,2018-08-01 17:42:12,0.959s,PASSED
click,Chrome 65.0.3325.181,,2018-08-01 17:42:12,2018-08-01 17:42:12,0.165s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-08-01 17:42:12,2018-08-01 17:42:13,1.136s,PASSED
