Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ts5,Chrome 65.0.3325.181,,2018-08-01 09:16:22,2018-08-01 09:17:47,1m - 24.670s,FAILED
,,,,,,
Test Cases/tc05,Chrome 65.0.3325.181,,2018-08-01 09:16:23,2018-08-01 09:17:02,39.475s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-08-01 09:16:23,2018-08-01 09:16:30,6.322s,PASSED
setText,Chrome 65.0.3325.181,,2018-08-01 09:16:30,2018-08-01 09:16:30,0.516s,PASSED
setText,Chrome 65.0.3325.181,,2018-08-01 09:16:30,2018-08-01 09:16:31,0.417s,PASSED
click,Chrome 65.0.3325.181,,2018-08-01 09:16:31,2018-08-01 09:16:31,0.139s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-08-01 09:16:31,2018-08-01 09:17:02,31.352s,FAILED
,,,,,,
Test Cases/tc05,Chrome 65.0.3325.181,,2018-08-01 09:17:02,2018-08-01 09:17:39,36.821s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-08-01 09:17:02,2018-08-01 09:17:07,4.611s,PASSED
setText,Chrome 65.0.3325.181,,2018-08-01 09:17:07,2018-08-01 09:17:07,0.245s,PASSED
setText,Chrome 65.0.3325.181,,2018-08-01 09:17:07,2018-08-01 09:17:08,0.460s,PASSED
click,Chrome 65.0.3325.181,,2018-08-01 09:17:08,2018-08-01 09:17:08,0.248s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-08-01 09:17:08,2018-08-01 09:17:39,31.234s,FAILED
,,,,,,
Test Cases/tc05,Chrome 65.0.3325.181,,2018-08-01 09:17:39,2018-08-01 09:17:47,7.683s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-08-01 09:17:39,2018-08-01 09:17:44,4.968s,PASSED
setText,Chrome 65.0.3325.181,,2018-08-01 09:17:44,2018-08-01 09:17:44,0.221s,PASSED
setText,Chrome 65.0.3325.181,,2018-08-01 09:17:44,2018-08-01 09:17:44,0.131s,PASSED
click,Chrome 65.0.3325.181,,2018-08-01 09:17:44,2018-08-01 09:17:44,0.105s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-08-01 09:17:44,2018-08-01 09:17:45,1.029s,PASSED
click,Chrome 65.0.3325.181,,2018-08-01 09:17:45,2018-08-01 09:17:46,0.177s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-08-01 09:17:46,2018-08-01 09:17:47,1.029s,PASSED
